Customer ID,First Name,Last Name,Gender,Location,Date of Birth
1,Megan,Martinez,Female,Tennessee,18-02-1995
2,Katherine,Stephenson,Female,Georgia,16-03-2000
3,Robert,Williams,Male,Missouri,05-09-1997
4,Jonathan,Scott,Female,Washington,21-02-1954
5,William,Fox,Female,North Carolina,07-03-1975
6,Richard,Perkins,Female,California,10-04-1984
7,Kristen,Foster,Female,New York,01-12-1990
8,Kevin,Garcia,Female,North Carolina,24-12-2003
9,Thomas,King,Female,Texas,30-06-2000
10,Brandy,Campbell,Male,California,19-12-1986
11,Rebecca,Fischer,Male,North Carolina,22-08-1985
12,William,Stout,Female,Washington,08-09-1958
13,Juan,Larson,Male,Indiana,24-09-1956
14,Katelyn,Johnson,Male,Maryland,29-08-1989
15,Christine,Sparks,Female,Washington,25-07-1980
16,John,Torres,Male,Massachusetts,22-01-1971
17,Renee,Morgan,Female,New York,07-02-1955
18,Tonya,Moreno,Male,North Carolina,23-04-1997
19,Lisa,Wright,Male,Virginia,25-04-1988
20,Rachel,Mora,Female,Michigan,23-09-1959
21,Kyle,Martin,Female,Ohio,30-08-1958
22,Jessica,Perry,Male,Wisconsin,30-11-1975
23,Rachel,Roberts,Female,Florida,11-08-1977
24,Gabriella,Meyer,Female,Texas,30-11-1959
25,Thomas,Berry,Female,Florida,16-04-1985
26,Craig,Burton,Male,North Carolina,18-06-1955
27,Ryan,Schmidt,Female,Michigan,17-09-1963
28,Cheryl,Jenkins,Female,Missouri,14-05-1988
29,Robin,Walters,Female,New Jersey,12-10-1995
30,Tammy,Powell,Male,New York,30-09-1972
31,Thomas,Osborne,Male,Indiana,19-09-1955
32,Michelle,French,Male,Georgia,06-04-1953
33,Jorge,Carter,Female,Illinois,05-11-1978
34,Linda,Watson,Male,Florida,11-03-1976
35,Ana,Fuller,Female,Arizona,20-11-1963
36,Alexis,Moore,Female,Michigan,10-07-1990
37,Jennifer,Terry,Male,Michigan,28-07-2000
38,Raymond,James,Female,Indiana,17-03-1963
39,Mallory,Garza,Male,Pennsylvania,20-02-1964
40,Elizabeth,Taylor,Male,Maryland,04-02-1965
41,Aaron,Barnett,Male,Indiana,12-01-1964
42,Tristan,Gomez,Male,Ohio,09-10-1996
43,Mikayla,Kennedy,Male,Missouri,23-06-1999
44,John,Perry,Female,New York,20-09-1969
45,Mark,Woods,Male,Arizona,22-09-1995
46,Monica,Neal,Male,Missouri,21-07-1975
47,James,Flores,Female,Washington,01-11-1954
48,Ashley,Pearson,Female,North Carolina,27-01-1986
49,John,Brown,Male,Michigan,20-10-1995
50,Tammy,Evans,Female,Massachusetts,19-05-1999
51,Linda,Mcgee,Female,Virginia,20-04-1980
52,Seth,Williams,Male,Maryland,20-03-1956
53,Christopher,Howell,Female,Pennsylvania,14-08-1968
54,Luke,Johnson,Male,Illinois,25-07-1969
55,William,Ruiz,Female,New York,20-06-1996
56,Sarah,Oneal,Female,New York,16-05-1972
57,Daniel,Smith,Male,Washington,28-07-1975
58,Andrea,Rose,Female,Washington,12-10-1964
59,Jasmine,Jones,Female,Maryland,03-06-1969
60,Amy,Camacho,Male,Massachusetts,04-03-1977
61,Lisa,Parks,Female,Pennsylvania,05-08-1968
62,Amber,Harmon,Male,Missouri,06-05-1964
63,Tamara,Caldwell,Male,Michigan,04-11-1981
64,Carrie,Smith,Male,Virginia,17-09-1984
65,Briana,Williams,Male,Tennessee,07-12-1977
66,Sean,Oliver,Female,Arizona,08-09-1991
67,Caitlyn,Key,Female,Ohio,08-08-1962
68,Paul,Marks,Male,Tennessee,07-07-1979
69,Barbara,Lyons,Male,Tennessee,28-08-1991
70,Kelly,Acosta,Male,Indiana,30-08-2005
